name,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,access,public_access_hours_open,public_access_hours_close,public_access_days,data_as_of
Kezar Stadium,restroom,0,0,0,0,37.76671178167006,-122.45600547963194,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Restrooms,restroom,0,0,0,0,37.76376981288262,-122.43858249636833,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Rossi Pool,restroom,0,0,0,0,37.77906456359353,-122.45837511234984,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Golden Gate Park - Section 1 - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.7663337,-122.45492153,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Palega Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.72905279,-122.41024196,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Mission Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.759595020000006,-122.42274036,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Camp Mather - Drinking fountain,drinking_water,1,0,0,0,37.88353247,-119.85688926,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/19 09:47:28 AM
Garfield Pool,restroom,0,0,0,0,37.749976574885075,-122.41197072408409,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/20 06:25:03 PM
Lindley/Spdwy Drinking fountain,drinking_water,1,0,0,0,37.76936528,-122.49313418,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Marina Branch Library,drinking_water,1,0,0,0,37.80137363200003,-122.434135665,limited_access,,,Daily,2024/10/10 10:24:00 AM
Ocean View Branch Library,drinking_water,1,0,0,0,37.71413776700007,-122.465970826,limited_access,,,Daily,2024/10/10 10:24:00 AM
Willie Woo Woo Wong Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.79362387,-122.40706237,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Drinking Fountain,drinking_water,1,0,0,0,37.772121420000005,-122.44773409,limited_access,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Restrooms,restroom,0,0,0,0,37.71718343500864,-122.38878587677976,publicly_accessible,08:00:00,20:00:00,Daily,2024/09/05 08:57:17 AM
Anza Branch Library,drinking_water,1,0,0,0,37.77856950700004,-122.49725809499996,limited_access,,,Daily,2024/10/10 10:24:00 AM
Cayuga Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.71432704,-122.44986996,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Palega Playground - Drinking Fountain/Cooler,drinking_water,1,1,0,0,37.72937032,-122.40967734,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
China Basin Park Water Fountain #3,drinking_water,1,1,0,1,37.776004,-122.388026,publicly_accessible,,,Daily,2024/10/04 01:51:23 PM
St. Mary's Square - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.79172529,-122.40516295,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Arriba Juntos,drinking_water,0,1,1,0,37.76735,-122.420036,publicly_accessible,,,Daily,2024/06/27 01:43:12 PM
Drinking Fountain/Cooler,drinking_water,1,1,0,0,37.78266862,-122.41594619,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Mission Dolores Park - Drinking Fountain/Cooler,drinking_water,1,0,0,1,37.75945603,-122.42710373,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Southeast Community Center Water Fountain,drinking_water,1,0,0,0,37.742691,-122.387441,limited_access,07:00:00,19:00:00,Weekdays,2024/06/27 01:43:12 PM
Blue Heron Lake Restrooms,restroom,0,0,0,0,37.770982133423345,-122.47687712949111,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Mission Creek Maintenance Bldg,restroom,0,0,0,0,37.77135493025545,-122.39873334886664,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Silver Tree Clubhouse,restroom,0,0,0,0,37.74066815988966,-122.44236800766512,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Restrooms,restroom,0,0,0,0,37.8035364588777,-122.42122885313788,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
John McLaren Park - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.71923962,-122.4128329,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Crocker Amazon Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.714400729999994,-122.42886246,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Glen Canyon Park - Drinking Fountain/Cooler,drinking_water,1,0,0,1,37.73655267,-122.44078843,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Ortega Branch Library,drinking_water,1,0,0,0,37.75122405800005,-122.49810319699998,limited_access,,,Daily,2024/10/10 10:24:00 AM
